ID,Count of Language,English,French,Italian,German,Spanish,Japanese,Korean,Simplified Chinese,Tranditional Chinese,Czech,Hungarian,Russian,Polish,Brazilian Portuguese,Danish,Finnish,Dutch,Norwegian,Swedish,Romanian,Portuguese,Arabic,Hindi,Indonesian,Thai,Turkish,Vietnamese,Hebrew
76,"Autodesk Vehicle Tracking Main","1",1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,,,,,,,,,,,,,,
77,"BIC eStore","1",1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,"1","1",,"1","1",,"1",,,,,,,
78,"Building Design Suite",,3.0000000000000000e+00,3.0000000000000000e+00,3.0000000000000000e+00,3.0000000000000000e+00,3.0000000000000000e+00,3.0000000000000000e+00,3.0000000000000000e+00,3.0000000000000000e+00,3.0000000000000000e+00,,3.0000000000000000e+00,3.0000000000000000e+00,3.0000000000000000e+00,,,,,,,,,,,,,,
79,"Configurator 360",,2.0000000000000000e+00,2.0000000000000000e+00,2.0000000000000000e+00,2.0000000000000000e+00,2.0000000000000000e+00,2.0000000000000000e+00,2.0000000000000000e+00,,,,2.0000000000000000e+00,,,,,,,,,,,,,,,,
80,"Connected Desktop",,,,1.0000000000000000e+00,,1.0000000000000000e+00,,1.0000000000000000e+00,,,,,,,,,,,,,,,,,,,,
81,"DFM",,,,3.0000000000000000e+00,,3.0000000000000000e+00,,3.0000000000000000e+00,,,,,,,,,,,,,,,,,,,,
82,"Drawing Tabs",,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,,,,,,,,,1.0000000000000000e+00,,,,,,,,,,,,,,
83,"DWG TrueView",,1.0000000000000000e+00,,,,1.0000000000000000e+00,,,,,,,,,,,,,,,,,,,,,,
84,"Dynamo Open Source",,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,,,,,,,,,,,,,,
85,"Entertainment Creation Suite",,,,,,1.0000000000000000e+00,,,,,,,,,,,,,,,,,,,,,,
86,"Exchange Apps",,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,,,,,,,,,,,,,,
87,"Featured Apps Ribbon",,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,,,,,,,,,1.0000000000000000e+00,,,,,,,,,,,,,,
88,"Flint",,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,,,1.0000000000000000e+00,,1.0000000000000000e+00,,,,,,,,,,,,,,
89,"Fusion 360 Drawings",,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,,,1.0000000000000000e+00,,1.0000000000000000e+00,,,,,,,,,,,,,,
90,"Fusion Lifecycle",,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,,,,,,,,,,,,1.0000000000000000e+00,,
91,"Global Engineering Components",,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,,,,,,,"1",,,,,1.0000000000000000e+00,,
92,"Homestyler",,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,,1.0000000000000000e+00,,,,1.0000000000000000e+00,,1.0000000000000000e+00,,,,,,,,,,,,,,
93,"Homestyler Web GL",,1.0000000000000000e+00,,,,1.0000000000000000e+00,,,,,,,,,,,,,,,,,,,,,,
94,"Infrastructure Design Suite","3",3.0000000000000000e+00,3.0000000000000000e+00,3.0000000000000000e+00,3.0000000000000000e+00,3.0000000000000000e+00,3.0000000000000000e+00,3.0000000000000000e+00,3.0000000000000000e+00,3.0000000000000000e+00,,3.0000000000000000e+00,3.0000000000000000e+00,3.0000000000000000e+00,,,,,,,,,,,,,,
95,"InfraWorks",,2.0000000000000000e+00,,2.0000000000000000e+00,,2.0000000000000000e+00,,2.0000000000000000e+00,,,,2.0000000000000000e+00,,2.0000000000000000e+00,,,,,,,,,,,,,,
96,"Install Licensing",,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,,,,,,,"1",,,,,,,
97,"Inventor Engineer-to-Order (ETO)",,,,1.0000000000000000e+00,,1.0000000000000000e+00,,,,,,,,,,,,,,,,,,,,,,
98,"Inventor Fusion",,2.0000000000000000e+00,2.0000000000000000e+00,2.0000000000000000e+00,2.0000000000000000e+00,2.0000000000000000e+00,2.0000000000000000e+00,2.0000000000000000e+00,2.0000000000000000e+00,2.0000000000000000e+00,2.0000000000000000e+00,2.0000000000000000e+00,2.0000000000000000e+00,2.0000000000000000e+00,,,,,,,,,,,,,,
99,"Inventor HSM",,2.0000000000000000e+00,,2.0000000000000000e+00,1.0000000000000000e+00,2.0000000000000000e+00,,2.0000000000000000e+00,,2.0000000000000000e+00,,2.0000000000000000e+00,,,,,,,,,,,,,,,,
100,"Inventor Optimization",,4.0000000000000000e+00,4.0000000000000000e+00,4.0000000000000000e+00,4.0000000000000000e+00,4.0000000000000000e+00,4.0000000000000000e+00,4.0000000000000000e+00,4.0000000000000000e+00,4.0000000000000000e+00,,4.0000000000000000e+00,4.0000000000000000e+00,4.0000000000000000e+00,,,,,,,,,,,,,,
101,"Inventor Publisher",,2.0000000000000000e+00,2.0000000000000000e+00,2.0000000000000000e+00,2.0000000000000000e+00,2.0000000000000000e+00,,2.0000000000000000e+00,,,,2.0000000000000000e+00,,2.0000000000000000e+00,,,,,,,,,,,,,,
102,"Krakow SaaS",,,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,,1.0000000000000000e+00,,,,1.0000000000000000e+00,,1.0000000000000000e+00,,,,,,,,,,,,,,
103,"Maya",,,,,,1.0000000000000000e+00,,1.0000000000000000e+00,,,,,,,,,,,,,,,,,,,,
104,"Maya LT",,,,,,1.0000000000000000e+00,,1.0000000000000000e+00,,,,,,,,,,,,,,,,,,,,
105,"Meshmixer",,,,,,1.0000000000000000e+00,,,,,,,,,,,,,,,,,,,,,,
106,"MITSI",,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,,,,,,,,,,,,,,
107,"Mockup 360",,1.0000000000000000e+00,,1.0000000000000000e+00,,1.0000000000000000e+00,,,,,,,,,,,,,,,,,,,,,,
108,"Moldflow",,2.0000000000000000e+00,2.0000000000000000e+00,2.0000000000000000e+00,2.0000000000000000e+00,2.0000000000000000e+00,2.0000000000000000e+00,2.0000000000000000e+00,2.0000000000000000e+00,,,,,,,,,,,,"2",,,,,,,
109,"Mudbox",,1.0000000000000000e+00,,1.0000000000000000e+00,,1.0000000000000000e+00,,,,,,,,,,,,,,,,,,,,,,
110,"Nastran/Nastran IN-CAD",,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,,,,,,,,,,,,,,,,,,,,
111,"Pixlr",,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,,,1.0000000000000000e+00,,1.0000000000000000e+00,,,"1",,,,,,,,"1",,,
112,"Plant Design Suite",,2.0000000000000000e+00,,2.0000000000000000e+00,,2.0000000000000000e+00,,2.0000000000000000e+00,,,,2.0000000000000000e+00,,,,,,,,,,,,,,,,
113,"Platform Airmax",,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,,,,,,,"1",,,,,,,
114,"Platform CER/CIP",,2.0000000000000000e+00,2.0000000000000000e+00,2.0000000000000000e+00,2.0000000000000000e+00,2.0000000000000000e+00,2.0000000000000000e+00,2.0000000000000000e+00,2.0000000000000000e+00,2.0000000000000000e+00,2.0000000000000000e+00,2.0000000000000000e+00,2.0000000000000000e+00,2.0000000000000000e+00,,,,,,,,,,,,,,
115,"Print Studio",,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,,,,,,,"1","1","1","1","1",,,,,,,,,
116,"ProÂ£ & SolidWorks Addin",,,,1.0000000000000000e+00,,,,,,,,,,,,,,,,,,,,,,,,
117,"Product Design Suite",,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,,,,,,,,,,,,,,
118,"Project BRAN",,1.0000000000000000e+00,,1.0000000000000000e+00,,,,,,,,,,,,,,,,,,,,,,,,
119,"Reality Capture",,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,,,,,,,,,,,,,,
120,"Revit Content",,3.0000000000000000e+00,1.0000000000000000e+00,3.0000000000000000e+00,1.0000000000000000e+00,2.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,,2.0000000000000000e+00,2.0000000000000000e+00,1.0000000000000000e+00,,,,,,,,,,,,,,
121,"Revit Energy Analysis",,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,,,,,,,,,,,,,,
122,"Revit Extensions",,1.0000000000000000e+00,,1.0000000000000000e+00,,1.0000000000000000e+00,,1.0000000000000000e+00,,,,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,,,,,,,,,,,,,,
123,"Revit OneBox",,,,,1.0000000000000000e+00,,1.0000000000000000e+00,,1.0000000000000000e+00,1.0000000000000000e+00,,,1.0000000000000000e+00,,,,,,,,,,,,,,,
124,"Showcase",,1.0000000000000000e+00,,1.0000000000000000e+00,,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,,,,1.0000000000000000e+00,,,,,,,,,,,,,,,,
125,"SIM 360",,1.0000000000000000e+00,,1.0000000000000000e+00,,1.0000000000000000e+00,,,,,,,,,,,,,,,,,,,,,,
126,"SIM 360 / SIM 360 Moldflow",,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,,1.0000000000000000e+00,,,,,,,,,,,,,,,,,,,,,,
127,"SIM CFD 2014 (Cardinal)",,1.0000000000000000e+00,,1.0000000000000000e+00,,1.0000000000000000e+00,,1.0000000000000000e+00,1.0000000000000000e+00,,,,,,,,,,,,,,,,,,,
128,"SIM Job Manager",,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,,,,,,,"1",,,,,,,
129,"SIM Mech. 360",,2.0000000000000000e+00,2.0000000000000000e+00,2.0000000000000000e+00,,2.0000000000000000e+00,,2.0000000000000000e+00,,,,,,,,,,,,,,,,,,,,
130,"Simulation 360 & Simulation 360 Ultimate Installer",,1.0000000000000000e+00,,1.0000000000000000e+00,,1.0000000000000000e+00,,,,,,,,,,,,,,,,,,,,,,
131,"Simulation Composite Analysis",,,,1.0000000000000000e+00,,1.0000000000000000e+00,,,,,,,,,,,,,,,,,,,,,,
132,"Simulation Job Manager",,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,,,,,,,,,,,,"1",,,,,,,
133,"SketchBook","1",1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,,,"1","1","1","1",,"1","1","1","1",1.0000000000000000e+00,"1",
134,"SketchBook Designer",,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,,,,,,,,,,,,,,,,,,,
135,"SketchBook Designer for AutoCAD ",,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,,,,,1.0000000000000000e+00,,,,,,,,,,,,,,
136,"SketchBook Ink",,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,,,,,,,,,,,,,,,,,,,
137,"Sketchbook Pro","1",1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,,,"1","1","1","1",,"1","1","1","1",1.0000000000000000e+00,"1",
138,"Sketchbook Products Family","1",1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,,,"1","1","1","1",,"1","1","1","1",1.0000000000000000e+00,"1",
139,"SketchUp Import Tool",,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,,,,,,,,,1.0000000000000000e+00,,,,,,,,,,,,,,
140,"Skyscraper",,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,,,,,,,,,,,,,,
141,"Softimage",,,,,,1.0000000000000000e+00,,,,,,,,,,,,,,,,,,,,,,
142,"Structural Analysis Toolkit for Autodesk Revit",,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,,1.0000000000000000e+00,,,,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,,,,,,,,,,,,,,
143,"Structural Fabrication Suite",,1.0000000000000000e+00,,1.0000000000000000e+00,,,,,,,,,,,,,,,,,,,,,,,,
144,"Student Experience",,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,,,"1",,"1",,,,,,,,,
145,"Sunrise",,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,,,,,,,,,,,,,,
146,"SWSS AIRMax/Suites Technology",,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,,,,,,,"1",,,,,,,
147,"SWSS CER/CIP",,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,,,,,,,,,,,,,,
148,"SWSS Lira/First Experience",,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,,,,,,,,,,,,,,
149,"Tinkerplay",,,,,,1.0000000000000000e+00,,1.0000000000000000e+00,,,,,,,,,,,,,,,,,,,,
150,"VRED",,,,,,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,,,,,,,,,,,,,,,,,,,,
